iter	Passed	Remaining
580	12310	8877
581	12340	8863
582	12361	8841
583	12381	8819
584	12402	8798
585	12422	8776
586	12442	8754
587	12462	8732
588	12483	8711
589	12503	8689
590	12520	8664
591	12537	8640
592	12556	8618
593	12576	8595
594	12596	8573
595	12619	8554
596	12640	8533
597	12663	8512
598	12688	8494
599	12711	8474
600	12733	8453
601	12753	8431
602	12775	8411
603	12796	8389
604	12813	8365
605	12832	8343
606	12857	8324
607	12881	8305
608	12903	8284
609	12926	8264
610	12949	8244
611	12964	8219
612	12989	8200
613	13009	8178
614	13031	8157
615	13052	8136
616	13074	8115
617	13096	8095
618	13116	8073
619	13136	8051
620	13155	8028
621	13174	8006
622	13191	7982
623	13211	7960
624	13232	7939
625	13251	7916
626	13271	7895
627	13292	7874
628	13311	7851
629	13331	7829
630	13352	7808
631	13372	7786
632	13393	7765
633	13412	7742
634	13430	7719
635	13449	7697
636	13470	7676
637	13492	7655
638	13510	7632
639	13530	7610
640	13552	7590
641	13575	7569
642	13595	7548
643	13613	7525
644	13631	7502
645	13651	7480
646	13672	7459
647	13690	7436
648	13710	7415
649	13734	7395
650	13756	7374
651	13779	7354
652	13802	7334
653	13822	7312
654	13842	7290
655	13868	7272
656	13890	7251
657	13911	7230
658	13933	7209
659	13954	7188
660	13974	7167
661	13994	7145
662	14013	7122
663	14034	7101
664	14058	7081
665	14079	7060
666	14101	7040
667	14123	7019
668	14145	6998
669	14165	6977
670	14187	6956
671	14207	6934
672	14226	6912
673	14244	6889
674	14264	6868
675	14285	6846
676	14306	6825
677	14327	6804
678	14349	6783
679	14370	6762
680	14389	6740
681	14410	6719
682	14427	6696
683	14447	6674
684	14469	6654
685	14490	6632
686	14509	6610
687	14529	6589
688	14551	6568
689	14570	6545
690	14591	6525
691	14613	6504
692	14634	6482
693	14655	6462
694	14677	6440
695	14697	6419
696	14719	6398
697	14737	6376
698	14755	6354
699	14778	6333
700	14798	6311
701	14814	6288
702	14833	6266
703	14855	6245
704	14878	6225
705	14899	6204
706	14921	6183
707	14943	6163
708	14960	6140
709	14983	6120
710	15005	6099
711	15026	6078
712	15047	6057
713	15070	6036
714	15090	6015
715	15111	5993
716	15132	5972
717	15153	5951
718	15176	5931
719	15198	5910
720	15220	5889
721	15241	5868
722	15262	5847
723	15280	5825
724	15303	5804
725	15323	5783
726	15340	5760
727	15358	5738
728	15377	5716
729	15399	5695
730	15419	5674
731	15439	5652
732	15462	5632
733	15483	5611
734	15503	5589
735	15524	5568
736	15543	5546
737	15564	5525
738	15585	5504
739	15608	5484
740	15629	5462
741	15650	5441
742	15672	5421
743	15693	5399
744	15714	5378
745	15739	5359
746	15762	5338
747	15784	5317
748	15805	5296
749	15829	5276
750	15852	5255
751	15873	5234
752	15897	5214
753	15917	5193
754	15936	5171
755	15958	5150
756	15979	5129
757	15999	5108
758	16021	5087
759	16039	5065
760	16060	5044
761	16085	5024
762	16108	5003
763	16133	4983
764	16156	4963
765	16180	4942
766	16200	4921
767	16222	4900
768	16239	4878
769	16264	4858
770	16283	4836
771	16305	4815
772	16326	4794
773	16348	4773
774	16373	4753
775	16392	4731
776	16415	4711
777	16435	4689
778	16456	4668
779	16480	4648
780	16501	4627
781	16524	4606
782	16546	4585
783	16569	4565
784	16590	4543
785	16607	4521
786	16630	4501
787	16652	4480
788	16675	4459
789	16697	4438
790	16720	4417
791	16742	4397
792	16764	4376
793	16786	4355
794	16805	4333
795	16826	4312
796	16846	4290
797	16868	4270
798	16890	4248
799	16911	4227
800	16931	4206
801	16949	4184
802	16971	4163
803	16990	4141
804	17012	4121
805	17034	4100
806	17054	4078
807	17068	4055
808	17088	4034
809	17109	4013
810	17130	3992
811	17152	3971
812	17174	3950
813	17196	3929
814	17214	3907
815	17236	3886
816	17256	3865
817	17277	3844
818	17298	3822
819	17318	3801
820	17339	3780
821	17360	3759
822	17379	3737
823	17398	3716
824	17418	3694
825	17439	3673
826	17460	3652
827	17481	3631
828	17499	3609
829	17521	3588
830	17541	3567
831	17563	3546
832	17586	3525
833	17607	3504
834	17627	3483
835	17647	3461
836	17670	3441
837	17691	3420
838	17711	3398
839	17734	3377
840	17755	3356
841	17778	3336
842	17801	3315
843	17825	3294
844	17848	3273
845	17871	3253
846	17892	3232
847	17913	3210
848	17932	3189
849	17956	3168
850	17974	3147
851	17997	3126
852	18020	3105
853	18041	3084
854	18064	3063
855	18086	3042
856	18108	3021
857	18129	3000
858	18151	2979
859	18173	2958
860	18194	2937
861	18215	2916
862	18238	2895
863	18259	2874
864	18277	2852
865	18297	2831
866	18316	2809
867	18338	2788
868	18359	2767
869	18380	2746
870	18401	2725
871	18422	2704
872	18444	2683
873	18466	2662
874	18486	2640
875	18507	2619
876	18530	2598
877	18547	2577
878	18571	2556
879	18593	2535
880	18613	2514
881	18638	2493
882	18659	2472
883	18682	2451
884	18703	2430
885	18726	2409
886	18748	2388
887	18768	2367
888	18792	2346
889	18814	2325
890	18836	2304
891	18859	2283
892	18883	2262
893	18905	2241
894	18925	2220
895	18946	2199
896	18966	2177
897	18987	2156
898	19006	2135
